actual_x,actual_y,ScatterFusion_x,ScatterFusion_y,AWGFormer_x,AWGFormer_y,EnergyPatchTST_x,EnergyPatchTST_y,SWIFT_x,SWIFT_y,LWSpace_x,LWSpace_y,TimeFlowDiffuser_x,TimeFlowDiffuser_y,ARIMA_x,ARIMA_y
0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318,0.0,-1.085986318
0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878,0.1,-1.006215878
0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318,0.1,-1.085986318
0.2,-1.0,0.2,-1.0,0.2,-1.0,0.2,-1.0,0.2,-1.0,0.2,-1.0,0.2,-1.0,0.2,-1.0
0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379,0.2,-1.082878379
0.3,-1.0,0.3,-1.0,0.3,-1.0,0.3,-1.0,0.3,-1.0,0.3,-1.0,0.3,-1.0,0.3,-1.0
0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379,0.3,-1.082878379
0.4,-1.0,0.4,-1.0,0.4,-1.0,0.4,-1.0,0.4,-1.0,0.4,-1.0,0.4,-1.0,0.4,-1.0
0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379,0.4,-1.082878379
0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0,0.5,-1.0
0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446,0.5,-1.07873446
0.6,-1.0,0.6,-1.0,0.6,-1.0,0.6,-1.0,0.6,-1.0,0.6,-1.0,0.6,-1.0,0.6,-1.0
0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446,0.6,-1.07873446
0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473,0.7,-1.026935473
0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473,0.8,-1.026935473
0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473,0.9,-1.026935473
1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838,1.0,-1.008287838
1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838,1.1,-1.008287838
1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838,1.2,-1.008287838
1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939,1.9,-1.003107939
2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939,2.0,-1.003107939
2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939,2.1,-1.003107939
2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737,2.2,-1.013467737
2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737,2.3,-1.013467737
2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737,2.4,-1.013467737
2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595,2.5,-1.020719595
2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595,2.6,-1.020719595
2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595,2.7,-1.020719595
2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473,2.8,-1.026935473
2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473,2.9,-1.026935473
3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473,3.0,-1.026935473
3.1,-1.0,3.1,-1.0,3.1,-1.0,3.1,-1.0,3.1,-1.0,3.1,-1.0,3.1,-1.0,3.1,-1.0
3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683,3.1,-1.067338683
3.2,-1.0,3.2,-1.0,3.2,-1.0,3.2,-1.0,3.2,-1.0,3.2,-1.0,3.2,-1.0,3.2,-1.0
3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683,3.2,-1.067338683
3.3,-1.0,3.3,-1.0,3.3,-1.0,3.3,-1.0,3.3,-1.0,3.3,-1.0,3.3,-1.0,3.3,-1.0
3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683,3.3,-1.067338683
3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007,3.4,-1.050763007
3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007,3.5,-1.050763007
3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007,3.6,-1.050763007
3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784,3.7,-1.062158784
3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784,3.8,-1.062158784
3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784,3.9,-1.062158784
4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562,4.0,-1.073554562
4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562,4.1,-1.073554562
4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562,4.2,-1.073554562
4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298,4.3,-1.087022298
4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298,4.4,-1.087022298
4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298,4.5,-1.087022298
4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954,4.6,-1.104633954
4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954,4.7,-1.104633954
4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954,4.8,-1.104633954
4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339,4.9,-1.084950339
4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022,4.9,-1.152289022
5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339,5.0,-1.084950339
5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022,5.0,-1.152289022
5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339,5.1,-1.084950339
5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022,5.1,-1.152289022
5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177,5.2,-1.093238177
5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718,5.2,-1.167828718
